id;date;details;status;payment_method;payment_date;payment_amount
1;2021-08-06T23:31:40;RAM systemic;PAID;CASH_ON_DELIVERY;2021-08-07T03:57:35;5801
2;2021-08-06T17:45:51;Idaho calculating model;ISSUED;CREDIT_CARD;2021-08-06T20:00:48;75071
3;2021-08-06T16:31:49;program SQL;CANCELLED;CREDIT_CARD;2021-08-06T15:11:13;79944
4;2021-08-07T03:25:56;Soft Central;PAID;CASH_ON_DELIVERY;2021-08-07T00:41:37;8068
5;2021-08-07T07:32:48;Bhutanese;CANCELLED;PAYPAL;2021-08-07T09:22:21;87472
6;2021-08-06T20:09:16;Engineer Shirt Court;CANCELLED;PAYPAL;2021-08-07T11:53:43;62834
7;2021-08-07T07:41:38;program transmitting parse;PAID;CREDIT_CARD;2021-08-06T22:41:56;38509
8;2021-08-06T22:23:14;Dynamic iterate;PAID;CREDIT_CARD;2021-08-06T18:40:02;6085
9;2021-08-06T15:16:57;black Maine;PAID;CREDIT_CARD;2021-08-06T17:59:02;11254
10;2021-08-07T04:32:18;Lead Well;CANCELLED;PAYPAL;2021-08-06T17:49:26;85804
