id;placed_date;status;code
1;2021-08-07T06:55:38;COMPLETED;Electronics
2;2021-08-07T01:17:37;COMPLETED;payment PCI violet
3;2021-08-07T11:46:30;CANCELLED;background out-of-the-box withdrawal
4;2021-08-06T15:49:31;COMPLETED;Music real-time
5;2021-08-06T23:53:40;CANCELLED;Hat
6;2021-08-07T12:38:28;PENDING;solid navigating
7;2021-08-06T22:34:14;PENDING;Toys maroon
8;2021-08-07T11:23:48;COMPLETED;Developer
9;2021-08-06T18:52:12;COMPLETED;Credit Soft Cotton
10;2021-08-07T09:34:48;CANCELLED;contingency Bedfordshire
